,Name,Style,Family_style,Brewery,Alc,IBU,Rating,NFamily_style,clusters
137,Chasing Trees: Strain 17,IPA - New England / Hazy,IPA,DankHouse Brewing Company,7.0,35.547770700636946,3.98,16,4
138,Cherry Sour à La Mode,Sour - Fruited Berliner Weisse,Sour,Untitled Art,6.0,35.547770700636946,4.28,34,3
139,Cherry White,Mead - Other,Mead,Superstition Meadery,13.5,35.547770700636946,4.33,21,1
140,Chestnut,Wild Ale - American,Wild Ale,Sour Cellars,7.0,35.547770700636946,3.85,39,2
141,Christmas Punch Bowl,Sour - Smoothie / Pastry,Sour,Ology Brewing Co,8.0,35.547770700636946,3.94,34,3
142,Cider / Rode Druif 21/11,Cider - Other Fruit,Cider,Symbiose Brewing / Blending,6.5,35.547770700636946,3.95,7,2
143,Cider Blend,Cider - Dry,Cider,Saules Cidery,6.5,35.547770700636946,3.45,7,0
144,Cider Puur (2022),Cider - Dry,Cider,Pellicle Vergistingen,7.0,35.547770700636946,3.95,7,2
145,Cider State of Mind,Cider - Dry,Cider,Pomologik,6.9,35.547770700636946,3.63,7,0
146,Ciderstorm,Cider - Other Fruit,Cider,DUST Blending,6.9,35.547770700636946,3.88,7,2
147,Citra A,IPA - American,IPA,Ebeltoft Gårdbryggeri,6.5,35.547770700636946,3.62,16,4
148,Citra B,IPA - American,IPA,Ebeltoft Gårdbryggeri,6.5,35.547770700636946,3.62,16,4
149,Citranó,Pale Ale - American,Pale,Birra MC - 77,6.0,35.547770700636946,3.89,25,2
150,Citrus Base - DDH IPA,IPA - American,IPA,Cervesa Espiga,5.5,45.0,3.88,16,4
151,Classic,Lager - Dortmunder / Export,Lager,Baeren Brauerei,6.0,22.0,3.5,19,0
152,Cloud 9 - Double Barrel,Stout - Imperial / Double,Stout,Salikatt,14.0,35.547770700636946,4.29,35,1
153,Cloud City,IPA - New England / Hazy,IPA,Narrow Gauge Brewing Company,7.0,50.0,4.12,16,4
154,Coco Loco,Stout - Other,Stout,Brasserie de la Sambre,7.1,30.0,3.85,35,2
155,Cognac Barrel Aged Imperial Stout,Stout - Imperial / Double,Stout,?rpus Brewing Co.,13.0,35.547770700636946,4.22,35,1
156,Cold Hawaii,IPA - Imperial / Double,IPA,CLAG Brewing Company,8.5,35.547770700636946,4.33,16,4
157,Coloring Outside the Lines,Wild Ale - American,Wild Ale,Odd Breed Wild Ales,7.5,45.0,3.94,39,2
158,Colosseum of Life,Wild Ale - Other,Wild Ale,Métaphore,5.6,35.547770700636946,4.11,39,2
159,Come Together,Cider - Dry,Cider,Pomologik,6.9,35.547770700636946,3.7,7,0
160,Comfort Zone,IPA - Imperial / Double New England / Hazy,IPA,Salikatt,8.0,35.547770700636946,4.07,16,4
161,Confidently Incorrect,IPA - Imperial / Double New England / Hazy,IPA,Resident Culture Brewing Co.,8.0,35.547770700636946,3.98,16,4
162,Conquistadors,IPA - Other,IPA,Vinohradský pivovar,5.0,45.0,3.59,16,4
163,Contrition,Stout - Imperial / Double,Stout,Lua Brewing,14.3,35.547770700636946,4.42,35,1
164,Cool-ship Vienna Lager (2023),Lager - Vienna,Lager,Baeren Brauerei,5.5,35.547770700636946,3.38,19,0
165,Cool-ship Vienna Lager (2023),Lager - Vienna,Lager,Baeren Brauerei,5.5,35.547770700636946,3.38,19,0
166,Cool-ship Vienna Lager (2023),Lager - Vienna,Lager,Baeren Brauerei,5.5,35.547770700636946,3.38,19,0
167,Cool-ship Vienna Lager (2023),Lager - Vienna,Lager,Baeren Brauerei,5.5,35.547770700636946,3.38,19,0
168,Coolship: Drop Ceiling,Wild Ale - American,Wild Ale,Narrow Gauge Brewing Company,6.3,35.547770700636946,4.0,39,2
169,Copacabango,Mead - Other,Mead,Superstition Meadery,13.5,35.547770700636946,4.08,21,1
170,Corsair,IPA - American,IPA,Amager Bryghus,7.0,70.0,3.52,16,4
171,Crazy Rich Lupulins,IPA - Imperial / Double New England / Hazy,IPA,Carbon Brews,8.2,23.0,3.85,16,4
172,Crimes Against Brewing: Carrot And Walnut Cake,Stout - Imperial / Double Pastry,Stout,Neon Raptor Brewing Co.,10.0,35.547770700636946,3.82,35,1
173,Crispy As Helles,Lager - Helles,Lager,CLAG Brewing Company,4.9,35.547770700636946,3.89,19,0
174,Crispy Boi,Pilsner - Other,Pilsner,Birra MC - 77,5.0,35.547770700636946,3.54,26,0
175,Crooklyn In the House,IPA - Imperial / Double New England / Hazy,IPA,DankHouse Brewing Company,8.0,35.547770700636946,4.13,16,4
176,Crop Colors: Pink Dawn,Wild Ale - American,Wild Ale,Creature Comforts Brewing Co.,6.0,35.547770700636946,3.79,39,2
177,Crop Colors: Umbria Red,Wild Ale - American,Wild Ale,Creature Comforts Brewing Co.,7.0,35.547770700636946,3.81,39,2
178,Cryo Bears,IPA - Imperial / Double,IPA,3 Sons Brewing Co.,8.5,35.547770700636946,4.0,16,4
179,Cubed Pepper Infused Lambic,Lambic - Traditional,Lambic,Oud Beersel,6.8,35.547770700636946,3.66,20,2
180,Cuvée (2022),Wild Ale - Other,Wild Ale,Tommie Sjef,7.4,35.547770700636946,4.23,39,2
181,Daisy,Wild Ale - American,Wild Ale,Sour Cellars,6.1,35.547770700636946,3.96,39,2
182,Damascene,Wild Ale - Other,Wild Ale,Crossover Blendery,6.5,35.547770700636946,3.93,39,2
183,Dark Rituals (2021),Strong Ale - American,Strong Ale,Bottle Logic Brewing,13.13,40.0,4.36,36,1
184,Dark Soul - Rum & Tonka Bean Barrel,Stout - Imperial / Double,Stout,Carbon Brews,10.5,68.0,3.74,35,1
185,Darkest Hour,Stout - Imperial / Double,Stout,Folkingebrew,11.0,35.547770700636946,3.96,35,1
186,Darth Czech,Lager - Dark,Lager,Batch Craft Beer & Kolaches,4.5,35.547770700636946,3.44,19,0
187,Dat Cookie Dough Though,Stout - Imperial / Double,Stout,Recycled Brewing Company,9.5,35.547770700636946,3.84,35,1
188,Death & Taxes,Lager - Dark,Lager,Moonlight Brewing Company,5.3,35.547770700636946,3.85,19,0
189,Death Nectar,Stout - Imperial / Double,Stout,3 Sons Brewing Co.,14.4,35.547770700636946,4.32,35,1
190,Deep Fried,IPA - New England / Hazy,IPA,ÅBEN,6.0,35.547770700636946,3.7,16,4
191,Delia,Pilsner - Other,Pilsner,Birrificio Italiano,4.3,35.547770700636946,3.53,26,0
192,Deluxe,IPA - Imperial / Double New England / Hazy,IPA,Dugges Bryggeri,8.0,35.547770700636946,3.8,16,4
193,Demonia Barrel Blend #1,Stout - Imperial / Double,Stout,Seven Island Brewery,12.1,35.547770700636946,3.82,35,1
194,Deos (Beast Mode Series),Stout - Imperial / Double Coffee,Stout,Seven Island Brewery,11.5,45.0,4.03,35,1
195,Descent,Stout - Russian Imperial,Stout,Halfway Crooks Beer,13.0,35.547770700636946,4.12,35,1
196,Destination: Death Or Better Days,Wild Ale - American,Wild Ale,Dekkera Brewing & Blending,6.0,35.547770700636946,3.84,39,2
197,Destroyer Cognac,Barleywine - Other,Barleywine,Lua Brewing,15.0,35.547770700636946,4.36,0,1
198,Det Er Røjk! 2021,Mead - Cyser,Mead,The Attic Meadery,15.0,35.547770700636946,3.84,21,1
199,Dim Lights,Smoked Beer,Smoked,Moonlight Brewing Company,6.3,35.547770700636946,3.73,33,2
200,Dionysus,Grape Ale - Other,Grape,Dois Corvos,7.0,35.547770700636946,3.61,12,0
201,DIPA DDH - Citra / Mosaic,IPA - Imperial / Double New England / Hazy,IPA,Popihn,8.0,35.547770700636946,4.03,16,4
202,Does Anyone Have Any Questions?,Hard Seltzer,Hard Seltzer,Resident Culture Brewing Co.,5.0,35.547770700636946,3.4,14,0
203,Domestic,Lager - American Light,Lager,Outer Range Brewing Co.,4.2,35.547770700636946,3.94,19,0
204,Domesticated Saison,Wild Ale - American,Wild Ale,Odd Breed Wild Ales,6.8,30.0,3.64,39,2
205,Doom Sauce,Stout - Imperial / Double Pastry,Stout,WarPigs Brewpub,10.0,35.547770700636946,4.1,35,1
206,Dopealicious,IPA - New England / Hazy,IPA,3 Sons Brewing Co.,7.2,70.0,4.03,16,4
207,Doppelhawk,Schwarzbier,Schwarzbier,Enegren Brewing Company,8.0,22.0,3.93,31,2
208,Double Agent,IPA - Imperial / Double New England / Hazy,IPA,Ten Hands Brewing,8.0,45.0,3.77,16,4
209,Double Barrel Bang This,Stout - Imperial / Double Pastry,Stout,CLAG Brewing Company,14.0,35.547770700636946,4.63,35,1
210,Double Barrel Constellar,Barleywine - English,Barleywine,Pleasanti Street,15.0,35.547770700636946,4.35,0,1
211,Double Barry,Farmhouse Ale - Saison,Farmhouse,DUST Blending,6.2,35.547770700636946,3.92,8,2
212,Double Bodycheck,IPA - Imperial / Double New England / Hazy,IPA,Sudden Death Brewing Co.,8.5,35.547770700636946,4.14,16,4
213,Double Dry Hopped (DDH) Sparkle Motion,Pale Ale - New England / Hazy,Pale,Narrow Gauge Brewing Company,6.0,30.0,4.11,25,2
214,Double Dry Hopped Fallen Flag,IPA - New England / Hazy,IPA,Narrow Gauge Brewing Company,7.0,50.0,4.26,16,4
215,Double Rigger Stout (Nitro),Stout - Imperial / Double,Stout,Pleasanti Street,11.5,35.547770700636946,3.9,35,1
216,Double Smoojee Dark Berry,Sour - Smoothie / Pastry,Sour,Friends Company,8.0,35.547770700636946,4.13,34,3
217,Double Smoojee Dark Berry,Sour - Smoothie / Pastry,Sour,Friends Company,8.0,35.547770700636946,4.13,34,3
218,Double Up Buttercup,IPA - Imperial / Double,IPA,Pulpit Rock Brewing Company,7.7,35.547770700636946,4.11,16,4
219,Dr. No,Lambic - Gueuze,Lambic,Bofkont,6.0,35.547770700636946,4.28,20,2
220,Dream Smoojee Strawberry & Blackcurrant,Sour - Smoothie / Pastry,Sour,Friends Company,4.7,35.547770700636946,3.81,34,3
221,Dream Walking,Stout - Imperial / Double,Stout,Recycled Brewing Company,9.5,35.547770700636946,3.78,35,1
222,DRESS SEXY AT MY FUNERAL,Stout - Imperial / Double,Stout,Pomona Island Brew Co.,12.0,35.547770700636946,3.83,35,1
223,Druif,Wild Ale - Other,Wild Ale,Tommie Sjef,7.5,35.547770700636946,4.12,39,2
224,Dry-Hop (2021),Lambic - Traditional,Lambic,Bofkont,6.0,35.547770700636946,4.08,20,2
225,Dry-hopped Meerts (Amarillo + Nelson Sauvin),Wild Ale - Other,Wild Ale,Funk Factory Geuzeria,4.0,35.547770700636946,3.89,39,2
226,Dysphoria,IPA - New England / Hazy,IPA,Crooked Moon Brewing,6.8,35.547770700636946,3.34,16,4
227,EASY,Pale Ale - American,Pale,LERVIG,4.7,30.0,3.47,25,0
228,Easy Jeff,IPA - Session,IPA,To Øl CPH,4.5,30.0,3.67,16,4
229,Echo,Wild Ale - Other,Wild Ale,Nevel Wild Ales,5.0,35.547770700636946,3.87,39,2
230,Echte Liebe,Lager - Pale,Lager,Ebeltoft Gårdbryggeri,5.3,35.547770700636946,3.45,19,0
231,Echte Liebe,Lager - Other,Lager,Mikkeller Brewpub London,5.8,30.0,3.36,19,0
232,Edel-Pils,Pilsner - German,Pilsner,Enegren Brewing Company,4.8,35.0,3.84,26,0
233,Ein Brett Vor Dem Kopf Haben,Sour - Berliner Weisse,Sour,Birra MC - 77,4.7,35.547770700636946,3.54,34,3
234,Elderflower Power,Lambic - Other,Lambic,Pellicle Vergistingen,7.894397435897437,35.547770700636946,3.96,20,2
235,Elise,Sour - Berliner Weisse,Sour,Schneeeule,5.2,35.547770700636946,3.62,34,3
