Name,Style,Family style,Brewery,Alc,IBU,Rating
Barrel Aged Whiffle Bricks,Stout - Imperial / Double,Stout ,DankHouse Brewing Company,13,,3.92
Barrel Works Kentucky Grand Cru,Stout - Imperial / Double,Stout ,Basqueland Brewing,12.5,,4.15
Barrel Works PX,Stout - Imperial / Double,Stout ,Basqueland Brewing,12.6,,4
Barrel-Aged Shake It Fast,Stout - Pastry,Stout ,Mikerphone Brewing,13.7,,4.23
Barrel-Aged S'more Cowbell (2022),Stout - Imperial / Double Pastry,Stout ,Mikerphone Brewing,14.64,,4.31
Basalt,Stout - Imperial / Double,Stout ,Neon Raptor Brewing Co.,13.5,,3.93
Bash,Porter - Baltic,Porter ,Halfway Crooks Beer,7.7,,3.94
Batch Pilz,Pilsner - Czech / Bohemian,Pilsner ,Batch Craft Beer & Kolaches,4.7,,3.62
Be Kind: Quince,Wild Ale - Other,Wild Ale,Métaphore,4.1,,3.87
Beer Geek Breakfast (Mikkeller x Minoh),Stout - Imperial / Double Coffee,Stout ,Mikkeller,9,,3.71
Belief,Farmhouse Ale - Saison,Farmhouse ,Branch & Bone Artisan Ales,5.8,,3.9
Berry Cobbler,Sour - Smoothie / Pastry,Sour ,Basqueland Brewing,6.5,,3.88
Beste Freunde,Stout - Other,Stout ,Schneeeule,9.2,,3.56
Beyond the Atmosphere,IPA - Triple New England / Hazy,IPA ,Folkingebrew,10,,4.12
Beyond the Peel,Sour - Fruited,Sour ,Flying Couch Brewing,4.5,,3.72
Bianca Blueberry Space Jam Lassi Gose,Sour - Fruited Gose,Sour ,Omnipollo,6,,4.47
Bianca Dark Berries Marshmallow Lassi Gose,Sour - Smoothie / Pastry,Sour ,Omnipollo,6,,4.38
Bierra Di Bocce,Pilsner - Italian,Pilsner ,Batch Craft Beer & Kolaches,5.3,,3.58
Big Black Violet,Sour - Other,Sour ,Dugges Bryggeri,6,,3.66
Big In Japan,Lager - Japanese Rice,Lager ,WarPigs Brewpub,4.5,,3.23
