Name,Style,Family style,Brewery,Alc,IBU,Rating
Groseille de Kvasir 2021,Mead - Melomel,Mead ,The Attic Meadery,13,,4.12
Group Dynamic,Gluten-Free,Gluten-Free,LERVIG,7.7,,3.77
Gullhornid,Pale Ale - American,Pale ,OY Brewing,5.5,,3.23
Hazelnut Butter Cup Pastry Stout,Stout - Imperial / Double Pastry,Stout ,Untitled Art,11.7,,4.17
Hazy,IPA - New England / Hazy,IPA ,Dugges Bryggeri,6.5,,3.71
Hazy Sunshine,IPA - Imperial / Double New England / Hazy,IPA ,Mikkeller Brewpub London,8.4,,3.91
Hazy Up Your Ass,IPA - Triple New England / Hazy,IPA ,Magnanimous Brewing,10.5,,4.13
Heavenly Slumber,Stout - Imperial / Double,Stout ,3 Sons Brewing Co.,14.8,,4.62
Hella Cup of Nuts,Stout - Pastry,Stout ,18th Street Brewery,10,,3.81
Helles,Lager - Helles,Lager ,Mahrs Bräu,5.3,,3.52
Helles,Lager - Helles,Lager ,FrauGruber Brewing,4.8,,3.5
Helles Amarillo Tardif de Bourgogne,Lager - Helles,Lager ,Buddelship Brauerei,4.9,19,3.53
Here And Now: Cherry,Wild Ale - American,Wild Ale,Métaphore,7.5,,4.1
Herr Ober! Noch Ein Cottbuser Bier!,Historical Beer - Kottbusser,Historical ,Sudden Death Brewing Co.,6.3,,3.65
Hey Mambo,Pilsner - Italian,Pilsner ,Mikerphone Brewing,5,,3.71
High Street Lager,Lager - Vienna,Lager ,Enegren Brewing Company,5.4,30,3.75
Honey Isle,Lambic - Fruit,Lambic ,Crossover Blendery,5.5,,3.9
Honeymoon (2022),Lambic - Other,Lambic ,Bofkont,6,,4.12
Horizontal Refreshment,IPA - Imperial / Double,IPA ,Recycled Brewing Company,8,,3.64
House Party,Stout - Imperial / Double Pastry,Stout ,18th Street Brewery,10,,3.74
Howling at the Moon (2022),Lambic - Fruit,Lambic ,Bofkont,6,,4.16
Human Potential,IPA - Triple New England / Hazy,IPA ,Resident Culture Brewing Co.,10.3,,4.25
Hybrid 02,Grape Ale - Other,Grape ,Dugges Bryggeri,11.5,,3.5
Hyllipan Grapefrukt,IPA - American,IPA ,Hyllie Bryggeri,6.5,,3.62
I Can’t Fight This Feeling Anymore,IPA - Imperial / Double,IPA ,Creature Comforts Brewing Co.,8,,4.1
IBUKI VIII,IPA - Sour,IPA ,Pomona Island Brew Co.,6,,3.91
Identical Truths,IPA - Imperial / Double New England / Hazy,IPA ,Ruse Brewing,8,,4.13
Idjit!,Stout - Imperial / Double,Stout ,Dugges Bryggeri,9.5,,3.87
If Whales Could Fly,IPA - Imperial / Double,IPA ,Finback Brewery,9,,4.14
Illusion of Light,Stout - Imperial / Double,Stout ,TapRoom Beer Company,12,,4.2
I'M,Grape Ale - Italian,Grape ,Klanbarrique,7.1,,3.88
Imaginary Lines,IPA - New England / Hazy,IPA ,Ruse Brewing,6.9,,4.11
Imperial Italian Pilsner,Pilsner - Italian,Pilsner ,OY Brewing,7.7,,3.18
In the Steep,IPA - New England / Hazy,IPA ,Outer Range Brewing Co.,6.7,,4.13
Internal,Pilsner - German,Pilsner ,Crooked Moon Brewing,4.5,,3.98
Internal Eye Roll,Sour - Fruited,Sour ,Recycled Brewing Company,4.7,,3.16
IPL El Dorado Azacca,Lager - IPL (India Pale Lager),Lager ,Buddelship Brauerei,6,,3.57
Irrefutable Logic,Stout - Imperial / Double,Stout ,Ology Brewing Co,12.5,,4.22
Irrefutable Logic: Nutty List,Stout - Imperial / Double Pastry,Stout ,Ology Brewing Co,12,,4.37
Island Crush #1 KUMQUAT,Hard Seltzer,Hard Seltzer,LIME,6,,4.18
Island Crush #2 PINEAPPLE,Hard Seltzer,Hard Seltzer,YUZU,6,,4
It's Alive,Brett Beer,Brett ,Carbon Brews,7.5,8,3.65
Jeepney,Sour - Fruited,Sour ,Basqueland Brewing,6.1,,3.79
Jubel,Wild Ale - Other,Wild Ale,Nevel Wild Ales,6.2,,3.71
Juice Lord,IPA - New England / Hazy,IPA ,Magnanimous Brewing,7.5,45,4.08
Juicy Secret,IPA - Imperial / Double New England / Hazy,IPA ,Magnanimous Brewing,8.5,,4.1
Just Passing Through Gose,Sour - Fruited Gose,Sour ,Outer Range Brewing Co.,4.5,,3.7
Keep Up the Vibes,IPA - New England / Hazy,IPA ,TapRoom Beer Company,7,,3.67
Kennedy,Sour - Berliner Weisse,Sour ,Schneeeule,3,,3.54
Kerspruim Saison 21/05,Farmhouse Ale - Saison,Farmhouse ,Symbiose Brewing / Blending,6.5,,4.03
Kind of Blue,Lager - Mexican,Lager ,TapRoom Beer Company,5.4,,3.35
Kind of Blue,Lager - Mexican,Lager ,TapRoom Beer Company,5.4,,3.35
King Sue,IPA - Imperial / Double New England / Hazy,IPA ,Toppling Goliath Brewing Co.,7.8,10,4.32
Kjaftæði,Pale Ale - New England / Hazy,Pale ,Crooked Moon Brewing,4.7,,3.52
Kölner Saft,Kölsch,Kolsch,Amager Bryghus,4.7,,3
Krispy Kiwi,Pilsner - Other,Pilsner ,Forager Brewery,4.8,,3.58
Kutfruit (2022),Lambic - Fruit,Lambic ,Bofkont,6,,4.13
LA Commemorative Stout,Stout - Imperial / Double,Stout ,Creature Comforts Brewing Co.,13.7,,4.08
La Tavolo Della Mamma,Sour - Berliner Weisse,Sour ,Schneeeule,4.2,,3.6
Lacto-Kooler (Green),Sour - Fruited Berliner Weisse,Sour ,Voodoo Brewing Co.,5.5,,4.07
Lagertha,Pilsner - Other,Pilsner ,Enegren Brewing Company,5,45,3.7
LASSI GOSE - Cassis / Fleur De Sel,Sour - Fruited Gose,Sour ,Popihn,6,,3.89
Lava Blast Cannon,Sour - Fruited,Sour ,Sudden Death Brewing Co.,8,,4.31
Le MORRIS (Gamay),Farmhouse Ale - Saison,Farmhouse ,DUST Blending,8.1,,4.02
Le MORRIS (Riesling),Farmhouse Ale - Saison,Farmhouse ,DUST Blending,8.7,,4
LemLim Slushhhhh,Sour - Fruited Berliner Weisse,Sour ,Ology Brewing Co,6,,3.73
Less Sugars More Fun,IPA - Brut,IPA ,Vinohradský pivovar,5.2,40,3.66
Let´s Order A Pizza (2023),IPA - Triple New England / Hazy,IPA ,Sudden Death Brewing Co.,9.5,,4.2
Lichtervelds Blond,Belgian Strong Golden Ale,Belgian ,Brouwerij De Dolle Brouwers,9,,3.56
Limbes,Farmhouse Ale - Saison,Farmhouse ,Brasserie de la Sambre,5,,3.93
Little Luxuries (2023),Stout - Imperial / Double Pastry,Stout ,Forager Brewery,13.8,,4.44
Live By the Sun And the Moon,Table Beer,Table ,Finback Brewery,7.5,,3.83
Looking For More,IPA - Triple,IPA ,Cervesa Espiga,9.5,60,4
Lost All Reason - Citra Cryo And El Dorado Edition,IPA - Imperial / Double New England / Hazy,IPA ,To Øl CPH,8,50,3.89
Lost Horizon Kriek,Lambic - Kriek,Lambic ,Buddelship Brauerei,6.7,,3.63
Lost In Confusion,IPA - Cold,IPA ,FrauGruber Brewing,6.2,,3.63
Loup Et Renard Saison,Farmhouse Ale - Saison,Farmhouse ,Odd Breed Wild Ales,6.8,35,3.91
Lucrum Maximus,Stout - Imperial / Double,Stout ,Magnanimous Brewing,10.5,,4.21
Lush IPA,IPA - American,IPA ,Fremont Brewing,7,80,3.9
Magic Cookie,Stout - Imperial / Double Pastry,Stout ,Cervesa Espiga,10.5,,4.07
Maibock Saphir Petit Blanc,Bock - Hell / Maibock / Lentebock,Bock ,Buddelship Brauerei,7.1,,3.55
Majbock,Bock - Hell / Maibock / Lentebock,Bock ,Ebeltoft Gårdbryggeri,6.9,,3.27
Malmadura,Grape Ale - Italian,Grape ,Klanbarrique,3.6,,3.75
Malmö I Love You 2023,Sour - Fruited,Sour ,Hyllie Bryggeri,5,,3.55
Mango White,Mead - Other,Mead ,Superstition Meadery,13.5,,4.39
Mango x Apricot x Almond Smoothie Sour Ale,Sour - Smoothie / Pastry,Sour ,?rpus Brewing Co.,5,,4.24
Mango x Cherry x Vanilla Smoothie Sour Ale,Sour - Smoothie / Pastry,Sour ,?rpus Brewing Co.,5,,4.3
Mango x Guava x Apricot x Vanilla Smoothie Sour Ale,Sour - Smoothie / Pastry,Sour ,?rpus Brewing Co.,5,,4.35
Mash Test Yummies Bourbon BA 2022,Stout - Imperial / Double Pastry,Stout ,To Øl,13.6,,4.2
Master of Hazies,IPA - Imperial / Double New England / Hazy,IPA ,Magnanimous Brewing,8.5,,4.23
Materialismo,IPA - Imperial / Double New England / Hazy,IPA ,WarPigs Brewpub,8,,3.77
Meander,Wild Ale - Other,Wild Ale,Nevel Wild Ales,6.1,,3.78
Meat Jelly,Stout - Imperial / Double,Stout ,WarPigs Brewpub,10.9,,4.09
Mega Fresh - PiMP Pineapple Mango Passionfruit,Sour - Smoothie / Pastry,Sour ,Juicy Brewing Co,6,,4.43
Mega Fruit - TBC Tripple Berry Choco,Sour - Smoothie / Pastry,Sour ,Juicy Brewing Co,6,,4.29
Mega Latte - ML - Mocha Latte,Stout - Imperial / Double Pastry,Stout ,Juicy Brewing Co,10,,4.01
Mega Mane,IPA - New England / Hazy,IPA ,DankHouse Brewing Company,7.4,,4.09
Megablend 04 blend series 20/16,Lambic - Gueuze,Lambic ,Symbiose Brewing / Blending,5.6,,4.12
Memory,Farmhouse Ale - Saison,Farmhouse ,Halfway Crooks Beer,12,,4.32
Memory & Perception,Stout - Imperial / Double Pastry,Stout ,Finback Brewery,7.1,,3.99
Memory Pils,Pilsner - Other,Pilsner ,CLAG Brewing Company,5.5,,3.81
Merci Michel!,Farmhouse Ale - Saison,Farmhouse ,DUST Blending,8.3,,4.01
Meteora,Barleywine - American,Barleywine ,Toppling Goliath Brewing Co.,11,,4.4
Methode Czech,Pilsner - Czech / Bohemian,Pilsner ,WarPigs Brewpub,5.2,,3.37
Micke's Lingon Trip (2022),Mead - Melomel,Mead ,Marlobobo,12,,4.27
Midnight Sea,Stout - Imperial / Double,Stout ,Toppling Goliath Brewing Co.,14.26,,4.28
Mijmer,Wild Ale - Other,Wild Ale,Nevel Wild Ales,5.2,,3.86
Mind on Fire,IPA - Triple New England / Hazy,IPA ,Spartacus Brewing,9.5,67,4.26
Minerva,Sour - Berliner Weisse,Sour ,Schneeeule,3.5,,3.78
Minne,Wild Ale - Other,Wild Ale,Nevel Wild Ales,5.9,,3.54
Minoh Kokusan Momo Weizen (?????????),Wheat Beer - Hefeweizen,Wheat Beer,A.J.I. Beer Inc.,5,,3.7
Minoh Oyamada Berries,Grape Ale - Italian,Grape ,A.J.I. Beer Inc.,5.5,,3.39
Minoh Pilsner,Pilsner - Other,Pilsner ,A.J.I. Beer Inc.,5,,3.46
Minoh Sansho W-IPA (??W-IPA),IPA - Imperial / Double,IPA ,A.J.I. Beer Inc.,9,78,3.54
Minoh x Ichiro's Malt Barrel Aged Imperial Stout,Stout - Imperial / Double,Stout ,A.J.I. Beer Inc.,9.5,55,3.85
Minoh Yuzu White (??????),Fruit Beer,Fruit ,A.J.I. Beer Inc.,5,12,3.66
Minutiae (2022),Stout - Imperial / Double,Stout ,Phase Three Brewing,13.5,,4.44
Mirabelge,Lambic - Fruit,Lambic ,Pellicle Vergistingen,6,,3.91
Missing You,Sour - Smoothie / Pastry,Sour ,Pulpit Rock Brewing Company,7,,4.23
Misspent Youth,Pale Ale - American,Pale ,Moonlight Brewing Company,5.6,,3.55
Misto,Wild Ale - Other,Wild Ale,Tommie Sjef,9,25,4.13
Mitch & Murray,Mild - Other,Mild ,Branch & Bone Artisan Ales,3.8,,3.61
Moctezuma Coffee Hazelnut,Stout - Imperial / Double,Stout ,Seven Island Brewery,10.3,,3.96
Moes,Wild Ale - Other,Wild Ale,Nevel Wild Ales,4.6,,3.69
Mojnerfucker,IPA - Triple,IPA ,Too Old To Die Young Brewing Co.,10,50,3.98
Moksa FIVE,Stout - Imperial / Double,Stout ,Moksa Brewing Co,13.4,,4.41
Mole,Stout - Other,Stout ,Brasserie de la Sambre,13.8,10,4.15
MOON,IPA - American,IPA ,Crooked Moon Brewing,6,,3.61
MOONLIGHT SLEEPING ON A MIDNIGHT LAKE,IPA - Imperial / Double New England / Hazy,IPA ,Pomona Island Brew Co.,8,,4.02
Moonwalk (2022),Lambic - Fruit,Lambic ,Bofkont,6,,4.29
Morello Myrcia Gale 2022,Mead - Other,Mead ,The Attic Meadery,13,,4.22
Morello Syrah 2022,Mead - Melomel,Mead ,The Attic Meadery,14,,4.03
Morello Wild Apple 2022,Mead - Melomel,Mead ,The Attic Meadery,14,,4.17
Morning Dream Walk,Stout - Imperial / Double,Stout ,Recycled Brewing Company,9.5,,3.76
Mortalis Bianca Hydra,Sour - Smoothie / Pastry,Sour ,Omnipollo,6,,4.37
Mosaic Starburst,IPA - Imperial / Double,IPA ,TapRoom Beer Company,8,,3.81
Moss,IPA - Imperial / Double,IPA ,Finback Brewery,8.5,70,4.07
Most Mellow,Stout - Imperial / Double,Stout ,Dugges Bryggeri,16.7,,4.25
Mostra 6th Anniversary Stout,Stout - Imperial / Double,Stout ,Toppling Goliath Brewing Co.,,,4.61
Mother Fluffer Jones,Stout - Imperial / Double Pastry,Stout ,3 Sons Brewing Co.,13.2,,4.38
Mr Nielsen's Cornucopia 2021,Mead - Cyser,Mead ,The Attic Meadery,14,,4.08
Mr. Paul,Porter - Other,Porter ,Schneeeule,5,,3.39
Mucha,Lager - Pale,Lager ,Creature Comforts Brewing Co.,5,,3.59
Multiple Ectogasms,IPA - New England / Hazy,IPA ,Drekker Brewing Company,7,65,4.19
Mumbo Jumbo #1: Passion Fruit,Sour - Fruited Gose,Sour ,ÅBEN,6,,3.88
Mumbo Jumbo #2: Black Currant,Sour - Fruited Gose,Sour ,ÅBEN,6,,3.78
Mumbo Jumbo #3 White Peach,Sour - Fruited Gose,Sour ,ÅBEN,6,,3.64
Mumbo Jumbo #4 Blackberry,Sour - Fruited Gose,Sour ,ÅBEN,6,,3.53
Münich Münich Lager,Lager - Munich Dunkel,Lager ,Ebeltoft Gårdbryggeri,5.2,,3.26
Murder (2022 Release),Stout - Imperial / Double,Stout ,Dois Corvos,12,,4.11
Murder In Carcavelos (2022 Release),Stout - Imperial / Double,Stout ,Dois Corvos,12,,4.01
Musik zur Entspannung,Wild Ale - Other,Wild Ale,Schneeeule,6.5,,3.77
Muskaat (2020),Lambic - Fruit,Lambic ,Bofkont,6,,4.15
Mustachio Pistachio,Stout - Imperial / Double Pastry,Stout ,Basqueland Brewing,12,70,3.96
Natur/Kultur,Cider - Dry,Cider ,Pomologik,7,,3.5
Near And Far Curious Club 2018,Farmhouse Ale - Saison,Farmhouse ,Sour Cellars,8.9,,3.91
Nectaronus Prime,IPA - New England / Hazy,IPA ,Moksa Brewing Co,7,,4
NEIPA DDH - Centennial / HBC 630 / Simcoe,IPA - New England / Hazy,IPA ,Popihn,7,,3.73
NEIPA DDH - Citra Cryo / Simcoe / ID 158,IPA - New England / Hazy,IPA ,Popihn,7,,3.79
NEIPA DDH - Cryo El Dorado / Mosaic / HBC 586,IPA - New England / Hazy,IPA ,Popihn,6.9,,3.84
Never Mind the Bitter,Bitter - Session / Ordinary,Bitter ,Hyllie Bryggeri,4.5,,3.39
Newtro,Hard Seltzer,Hard Seltzer,Untitled Art,5,,3.08
Niche Peach Connoisseur 5000,Sour - Fruited,Sour ,Sudden Death Brewing Co.,8,,4.31
Night of the Hop Creeps,IPA - American,IPA ,To Øl,6.5,,3.59
Nighthawk,Schwarzbier,Schwarzbier,Enegren Brewing Company,4.8,28,3.75
Nigredo,Schwarzbier,Schwarzbier,Birrificio Italiano,6.5,,3.66
Noa Pecan Mud Cake Chessboard Stout,Stout - Imperial / Double Pastry,Stout ,Omnipollo,11,,4.11
Noa Pecan Mud Cake Chessboard Stout,Stout - Imperial / Double Pastry,Stout ,Omnipollo,11,,4.11
Nocturnal,Stout - Imperial / Double Milk,Stout ,Ten Hands Brewing,11.5,60,3.84
Non-Alcoholic Italian Pilsner,Non-Alcoholic Beer - Lager,Non-Alcoholic ,Untitled Art,0.5,,3.56
North German Pils,Pilsner - German,Pilsner ,Ebeltoft Gårdbryggeri,5,,3.27
Northern Lights,Pale Ale - New England / Hazy,Pale ,Ten Hands Brewing,5.2,40,3.5
Northside Lager,Lager - American,Lager ,Ology Brewing Co,3.75,,3.38
Nyctophobia (Bourbon Barrel-Aged),Stout - Imperial / Double,Stout ,Hyllie Bryggeri,11,,3.92
Nyctophobia (Single Malt Barrel-Aged),Stout - Imperial / Double,Stout ,Hyllie Bryggeri,12,,3.96
Obsession,IPA - Imperial / Double New England / Hazy,IPA ,Basqueland Brewing,8,,4
Ode,Wild Ale - Other,Wild Ale,Nevel Wild Ales,6.1,,3.59
Oerbier,Belgian Strong Dark Ale,Belgian ,Brouwerij De Dolle Brouwers,9,,3.72
Off the Beaten Track,Bock - Doppelbock,Bock ,Buddelship Brauerei,7.5,,3.11
Offbeat Oils - Nutty Norwalien,Mead - Melomel,Mead ,Marlobobo,12,,4.25
O'HANRAHA-HANRAHAN,Sour - Fruited Gose,Sour ,Pomona Island Brew Co.,5.5,,3.98
OJ Run,IPA - Imperial / Double New England / Hazy,IPA ,Narrow Gauge Brewing Company,8.6,70,4.22
Omnichord Preset,IPA - New England / Hazy,IPA ,Neon Raptor Brewing Co.,6,,3.86
OMNIPOLLOSCOPE #2 SUPERSTITION STRAWBERRY BOURBON MEAD BARRELS,Barleywine - American,Barleywine,Omnipollo,15,,4.3
OMNIPOLLOSCOPE #2 SUPERSTITION STRAWBERRY BOURBON MEAD BARRELS,Barleywine - American,Barleywine,Omnipollo,15,,4.3
Once in a Blue Moon,IPA - Triple New England / Hazy,IPA ,Folkingebrew,10,,4.12
One For the Money,IPA - Imperial / Double New England / Hazy,IPA ,Hyllie Bryggeri,8,40,3.72
ONE MILLION DONG (Citra × Nelson Sauvin),IPA - American,IPA ,CLAG Brewing Company,7,,4.31
One of the Greats - Batch 4,Farmhouse Ale - Saison,Farmhouse ,Dekkera Brewing & Blending,5.25,18,3.95
One of the Greats: Achtung,Farmhouse Ale - Saison,Farmhouse ,Dekkera Brewing & Blending,5.25,,3.9
Öö X (Cellar Series),Porter - Imperial / Double Baltic,Porter ,Põhjala,13,30,4.25
Opppaque - MSM Motueka Strata Mosaic,IPA - Triple New England / Hazy,IPA ,Juicy Brewing Co,10,,4.1
Orange 2022,Wild Ale - Other,Wild Ale,Métaphore,6.6,,4.03
Orange Is My New Love,Farmhouse Ale - Other,Farmhouse ,Cervesa Espiga,7,,3.6
Orange Velvet IPA,IPA - Milkshake,IPA ,LERVIG,5.5,29,3.75
Oud Bruin,Sour - Flanders Oud Bruin,Sour ,Tommie Sjef,7.1,15,3.78
Õunaraks,Sour - Fruited,Sour ,Põhjala,4.2,10,3.49
Our Day Will Come,Stout - Irish Dry,Stout ,Branch & Bone Artisan Ales,4.2,,3.69
Our House,IPA - New England / Hazy,IPA ,Ten Hands Brewing,7,35,3.68
Outward Flux,Sour - Other,Sour ,Recycled Brewing Company,4.7,,3.79
Oven Baked,IPA - American,IPA ,ÅBEN,6,,3.61
Over the River,Barleywine - American,Barleywine ,Ruse Brewing,14.7,,4.22
Oyn Oy,Pilsner - Other,Pilsner ,OY Brewing,5.2,,3.35
Oyn Oy,Pilsner - Other,Pilsner ,OY Brewing,5.2,,3.35
P3 Czech-Style Dark Lager,Lager - Dark,Lager ,Phase Three Brewing,5.3,,3.87
P3 Pils,Lager - American,Lager ,Phase Three Brewing,4.7,,3.75
P3 Polish-Style Pilsner,Pilsner - Other,Pilsner ,Phase Three Brewing,5.5,,3.83
Pacifier,Pilsner - Czech / Bohemian,Pilsner ,To Øl CPH,4.7,40,3.44
Paradise Punch,IPA - Triple New England / Hazy,IPA ,Mikkeller Brewpub London,10,,4.02
Paramour,Sour - Fruited Gose,Sour ,Cervesa Espiga,4.5,5,3.9
Pasito A Pasito - Batch 3,Wild Ale - American,Wild Ale,Dekkera Brewing & Blending,5.7,,3.81
Pasito A Pasito: Albaricoque - Batch 2,Wild Ale - American,Wild Ale,Dekkera Brewing & Blending,6.1,18,3.98
Passionberry Cream Gluten Free Sour,Gluten-Free,Gluten-Free,Untitled Art,5.5,,4.15
Pastry Mistress,Mead - Other,Mead ,Superstition Meadery,14,,4.11
Peach Rust,Wild Ale - American,Wild Ale,Métaphore,5.5,,4.21
Perzik / Passie Fruit Series 20/08,Lambic - Fruit,Lambic ,Symbiose Brewing / Blending,5.6,,4.25
Phases of Darkness W/ Coconut,Stout - Imperial / Double,Stout ,Ruse Brewing,15,,4.23
Phases of Darkness W/ Vanilla,Stout - Imperial / Double,Stout ,Ruse Brewing,13.6,,4.41
Phoenix,Sour - Fruited,Sour ,Holy Goat Brewing,13.3,,4.42
Phoenix 2021,Barleywine - English,Barleywine ,Salikatt,6,,3.93
Pickle Rich,Sour - Fruited Berliner Weisse,Sour ,18th Street Brewery,5,,3.73
Pie In the Sky,Stout - Imperial / Double Pastry,Stout ,18th Street Brewery,10,,3.9
Pillory,Farmhouse Ale - Saison,Farmhouse ,Dekkera Brewing & Blending,7.7,24,3.68
Pillow Stacks,IPA - Imperial / Double New England / Hazy,IPA ,Outer Range Brewing Co.,7.6,,4.21
Pils,Pilsner - German,Pilsner ,Mahrs Bräu,5,45,3.32
Pils,Pilsner - German,Pilsner ,FrauGruber Brewing,4.9,,3.48
Pils,Pilsner - German,Pilsner ,Mahrs Bräu,4.8,,3.53
Pils / Spring Pils,Pilsner - Other,Pilsner ,Hyllie Bryggeri,4.9,,3.48
Pils Talus Taurus,Pilsner - German,Pilsner ,Buddelship Brauerei,5,,3.6
Pilsner,Pilsner - Other,Pilsner ,Flying Couch Brewing,4.5,,3.16
Pin Seeker Pilsner,Pilsner - German,Pilsner ,Humble Forager Brewery,4.2,,3.65
Pineapple Cherry Blackberry Smoothie Seltzer,Hard Seltzer,Hard Seltzer,Untitled Art,5,,4.18
Pineapple x Cherry x Strawberry Sour Ale,Sour - Fruited,Sour ,?rpus Brewing Co.,5,,4.18
Planifolia,Stout - Imperial / Double,Stout ,Phase Three Brewing,14.6,,4.45
Playitas Session IPA,IPA - Session,IPA ,Cervecería Transpeninsular,5,40,3.46
PLOP - Majik Milk,Hard Seltzer,Hard Seltzer,Drekker Brewing Company,6,,3.82
PLOP - Pain Killer,Hard Seltzer,Hard Seltzer,Drekker Brewing Company,6,,4.28
Pluche 2022,Lambic - Fruit,Lambic ,Bofkont,6,,4.23
Plum Barleywine (Cellar Series),Barleywine - English,Barleywine ,Põhjala,12,,3.94
Plumb Stoned,Sour - Other,Sour ,DankHouse Brewing Company,6.5,,4.12
Polock en Rouge,Grodziskie / Grätzer,Grodziskie ,Birrificio Italiano,4,,3.66
Poolside,Sour - Fruited,Sour ,Pulpit Rock Brewing Company,5.7,,4.41
Pop & Roll,IPA - New England / Hazy,IPA ,Vinohradský pivovar,5.2,20,3.55
Port Wine Barrel Aged Maple x Vanilla Imperial Stout,Stout - Imperial / Double Pastry,Stout ,?rpus Brewing Co.,12,,4.18
Premium Lager,Lager - American,Lager ,TapRoom Beer Company,4.6,20,3.34
Premium Lager,Lager - American,Lager ,TapRoom Beer Company,4.6,20,3.34
Pretty Pale For An Icelander,Pale Ale - New England / Hazy,Pale ,Crooked Moon Brewing,4.7,,3.51
Profligacy,Stout - Imperial / Double Pastry,Stout ,Lua Brewing,14.1,,4.53
Prost!,Pilsner - German,Pilsner ,Salikatt,4.7,,3.53
Proto 88,IPA - New England / Hazy,IPA ,Brewski,5.8,,3.53
Proto 91: Berliner Weisse W. Raspberry,Sour - Fruited Berliner Weisse,Sour ,Brewski,4,,3.75
Proto 92,Sour - Fruited Berliner Weisse,Sour ,Brewski,4,,4.05
Proto 93: Berliner Weisse W. Lychee And Passionfruit,Sour - Fruited Berliner Weisse,Sour ,Brewski,4,,3.81
Proto 94: Berliner Weisse W. Pineapple And Yuzu,Sour - Fruited Berliner Weisse,Sour ,Brewski,4,,3.91
Pruim Pit 21/07,Lambic - Fruit,Lambic ,Symbiose Brewing / Blending,6.5,,4.1
Pseudo Sue,Pale Ale - American,Pale ,Toppling Goliath Brewing Co.,5.8,45,4.12
Pure Joy,Stout - Imperial / Double,Stout ,Pulpit Rock Brewing Company,11.2,45,4.58
Pure Joy,Stout - Imperial / Double,Stout ,Pulpit Rock Brewing Company,11.2,45,4.58
Purple Lava 2023,Stout - Imperial / Double,Stout ,Funky Fluid,12,,3.57
Purple Macaron,Sour - Smoothie / Pastry,Sour ,Friends Company,4.7,,3.91
QDH Nelson x Citra Cryo x Nectaron x Mosaic Lupomax QIPA,IPA - Quadruple,IPA ,?rpus Brewing Co.,12,,4.15
QUASIMODO ON BELLS,Stout - Imperial / Double Pastry,Stout ,Pomona Island Brew Co.,11,,4.09
Quince,Sour - Fruited Berliner Weisse,Sour ,Schneeeule,3.5,,3.75
Qvevri,Wild Ale - Other,Wild Ale,Métaphore,5.2,,3.9
Rabarber Kardemom (2021),Lambic - Fruit,Lambic ,Bofkont,6,,4.08
Radian,Pilsner - German,Pilsner ,Halfway Crooks Beer,4.8,,3.88
Radiant Haze,IPA - American,IPA ,Toppling Goliath Brewing Co.,7,,3.96
Radical Empathy,Pilsner - German,Pilsner ,Resident Culture Brewing Co.,4.8,,3.76
Radix,Sour - Smoothie / Pastry,Sour ,Salikatt,8,,4.24
Rainbow Colored Glasses,Sour - Berliner Weisse,Sour ,Ology Brewing Co,6,,3.87
Raspberry Berliner,Sour - Fruited Berliner Weisse,Sour ,18th Street Brewery,5,,3.71
Raspoetin (2022),Lambic - Other,Lambic ,Bofkont,6,,4.02
Raw Power,IPA - Imperial / Double,IPA ,Ebeltoft Gårdbryggeri,8.5,65,3.85
RBG - Rye Barrel Gold,Old Ale,Old Ale,Forager Brewery,13.8,,4.32
Reality Czeck,Pilsner - Czech / Bohemian,Pilsner ,Moonlight Brewing Company,4.9,20,3.76
Reality Czeck,Pilsner - Czech / Bohemian,Pilsner ,Moonlight Brewing Company,4.9,20,3.76
Record Store,IPA - New England / Hazy,IPA ,FrauGruber Brewing,7.2,,3.78
Red Cat Mead (Bourbon Oak Aged) 2022,Mead - Other,Mead ,The Attic Meadery,13,,4.26
Reduced Mass,Mild - Other,Mild ,Ology Brewing Co,3.75,,3.41
Release the Hounds,IPA - New England / Hazy,IPA ,Mikkeller Brewpub London,6,,3.79
Return To Innocence,Lager - IPL (India Pale Lager),Lager ,Batch Craft Beer & Kolaches,5.8,,3.4
Riding For the Feeling,Pilsner - Italian,Pilsner ,Resident Culture Brewing Co.,5,,3.74
Rise And Shine,Stout - Imperial / Double,Stout ,Willibald Farm Brewery,8.5,,3.89
Rise of Orion,Stout - Imperial / Double,Stout ,To Øl CPH,10.2,40,3.67
Robusta By Rackhouse,Stout - Imperial / Double Coffee,Stout ,LERVIG,14,,4.33
Ron’s Not Bitter,Bitter - Session / Ordinary,Bitter ,Garden Path Fermentation,3.9,,3.58
Ronals Pils (Side Pull),Pilsner - Czech / Bohemian,Pilsner ,Pleasanti Street,5,,3.33
Ronals Pils (Side Pull),Pilsner - Czech / Bohemian,Pilsner ,Pleasanti Street,5,,3.33
Rosa,Belgian Tripel,Belgian ,RAWW Bier,9,,3.43
Rosa,Belgian Tripel,Belgian ,WarPigs Brewpub,8.5,,3.39
Rosemary Fields Forever,Sour - Fruited,Sour ,Pellicle Vergistingen,6,,3.97
Rotating Hop Pilsner: Elixir,Pilsner - German,Pilsner ,Enegren Brewing Company,4.8,,3.61
Roykoy,Rauchbier,Rauchbier,OY Brewing,8.7,70,3.3
RU=MC2,Lager - Helles,Lager ,Birra MC - 77,4.7,,
RUSSIAN IMPERIAL STOUT - Bourbon Barrel Aged Blend,Stout - Russian Imperial,Stout ,Popihn,12,,3.81
